,date,N - Activités de services administratifs et de soutien,"M - Activités spécialisées, scientifiques et techniques",G - Commerce,J - Information et communication,K - Activités financières et d'assurance,Q - Santé humaine et action sociale,L - Activités immobilières,P - Enseignement,I - Hébergement et restauration,"B,C - Industrie",S - Autres services,0 - Administration,F - Construction,H - Transports et entreposage,"D,E - Electricité - Eau","R - Arts, spectacles et activités récréatives",A - Agriculture,nan
22,2020-11-01,0.29370310588970366,0.14667887954622494,0.10143207347279677,0.07570639359121353,0.07707290430280857,0.042748620472370664,0.05163200270326847,0.022338093451905943,0.024043575327574722,0.04210149370459354,0.035806618544804235,0.020312767311703644,0.024871345035453834,0.019424429088613863,0.01563411516306213,0.00475197193021232,0.0017161079309688946,2.5502532720280785e-05
23,2020-12-01,0.3048387414891486,0.1524328656149664,0.1006416291837991,0.07365396453340448,0.07729031307061243,0.040576999135290226,0.052731725090804905,0.020241267521272588,0.020652342034756556,0.04022613250509431,0.040603988876074526,0.010996243235696215,0.02505270784955088,0.018623959208121002,0.01566858259224003,0.0048384300690625945,0.0008740523746300589,5.605561547508691e-05
24,2021-01-01,0.3180358283582678,0.1495250356864013,0.11566435855172358,0.066273196160853,0.07259126649263795,0.03901844651771701,0.04890910022949708,0.019400783917854242,0.02002874628348804,0.036236484514862104,0.0415815582141815,0.010677331840156469,0.023068991080371293,0.018335120939439585,0.015679342897026,0.0041759004408552115,0.0007068273409096286,9.168053375815266e-05
25,2021-02-01,0.33729893347924533,0.14856215905510942,0.12008721556836584,0.060561761113352604,0.06803238066813684,0.036220069160803475,0.04801001486754619,0.01910212548798529,0.023397501441617705,0.026883176459534298,0.03712649205129764,0.013181820694076748,0.020760216141328277,0.01938031625315728,0.016325744805109867,0.004082587653120066,0.000857601332367956,0.00012988376784520066
26,2021-03-01,0.3464897179391688,0.14544398406337175,0.12604395767408924,0.05934231349686881,0.06319608564181,0.03458869804805192,0.050107626112273124,0.017044509662927664,0.032564218475152305,0.02588257706177981,0.02720906791961106,0.011870492644182686,0.01888239046300699,0.0187855777105814,0.017163964107452787,0.0040872157979674004,0.0011672182651310914,0.0001303849165731721
27,2021-04-01,0.35054112456700687,0.1537602462634329,0.11511679996011928,0.05709174019097048,0.05739984643154121,0.03451482267966575,0.05646860397408584,0.015795810724451242,0.03586148928171088,0.030911710598923912,0.023637633827157244,0.009232801613507377,0.017451275940641428,0.017409041152608138,0.019064506368798324,0.0040953896920807005,0.0015045277769892413,0.00014262895630915033
28,2021-05-01,0.33371737005099017,0.1544407172588208,0.11301626887253609,0.05712955970424488,0.054858708442368134,0.033785278982771026,0.05816107296112213,0.015331026771340087,0.04168437567689398,0.047546789839418784,0.022878870370045132,0.007845823307984567,0.018207789622812717,0.01737414894302089,0.01780619025038491,0.0042882148732269025,0.0018007575358424508,0.00012703653617614167
29,2021-06-01,0.3262451419457879,0.15998572832263896,0.10563517405706196,0.05831353344446034,0.05217153475682436,0.03458855812163116,0.05913066576024258,0.01727401958191189,0.043368228409867274,0.049042570792809694,0.02484543705886392,0.009767319884791098,0.018657854543694636,0.017723104697610396,0.01690597238182815,0.004354099674385154,0.0018666858756540721,0.0001243706899365541
30,2021-07-01,0.31256338520276405,0.15943946278295124,0.10520128118729719,0.06013475116435791,0.05552302536525364,0.03785972451527617,0.059826998071718644,0.019996333370744458,0.04886215149882357,0.047970378510911765,0.024045876540225507,0.009297088889351587,0.020331510006292176,0.018750085698571586,0.01366962045308771,0.004320731538242383,0.0020902833816884873,0.00011731182244170082
31,2021-08-01,0.310703610054651,0.1616810320833029,0.10234625207922743,0.06548985500436912,0.058253607271282426,0.044823470590007755,0.06352464353729892,0.020861475573514383,0.049834044837259756,0.0356960643167545,0.022908400615098932,0.007593744621586989,0.018624566471183962,0.01839117207397734,0.012242736301612975,0.004104574989824106,0.0028073719944087484,0.00011337758463866513
