nuts2_code,period,nouveaute_count,influence_count,rupture_count,total_patents,region_name
UKM5,1980-1989,0.6666666666666667,2.0,1.0,116.84206349206349,North Eastern Scotland
DE13,1980-1989,0.5,67.66962481962483,0.7,2383.4375097125094,Freiburg
DE27,1980-1989,0.5,38.833333333333336,0.0,1434.7301587301586,Schwaben
DEB1,1980-1989,0.5,18.976190476190478,0.0,669.2246905871906,Koblenz
FI1D,1980-1989,0.5,7.5,1.0,138.00714285714287,Pohjois- ja Ita-Suomi
FRK1,1980-1989,0.5,0.5,0.0,239.95873015873016,Auvergne
HU12,1980-1989,0.5,0.0,0.0,53.10217225584873,Pest
NO08,1980-1989,0.5,5.0,2.5,377.3666666666667,NO08
SE21,1980-1989,0.5,8.5,0.5333333333333334,394.06853408029883,Smaland med oarna
UKN0,1980-1989,0.5,1.5,1.5,155.1337662337662,Northern Ireland
BEZZ,1980-1989,0.33333333333333337,1.25,0.0,62.3202380952381,BEZZ
DE91,1980-1989,0.33333333333333337,22.0,0.0,771.55825008325,Braunschweig
DE93,1980-1989,0.33333333333333337,8.25,1.0,685.9147907647907,Luneburg
ITF3,1980-1989,0.33333333333333337,0.0,0.16666666666666666,89.85,Campania
AT12,1980-1989,0.25,13.983333333333334,0.0,503.95831945831947,Niederosterreich
ATZZ,1980-1989,0.25,0.0,0.0,10.9,ATZZ
DED2,1980-1989,0.2,7.406409685086156,0.0,240.98292526273178,Dresden
DE72,1980-1989,0.16666666666666666,15.433333333333334,0.16666666666666666,814.0938852813854,Giessen
HU33,1980-1989,0.16666666666666666,1.0,0.0,38.06845793095793,Del-Alfold
DEZZ,1980-1989,0.125,8.25,1.5,335.8971361971362,DEZZ
AT11,1980-1989,0.0,2.2,0.0,37.31111111111111,Burgenland
AT21,1980-1989,0.0,4.5,0.0,166.8,Karnten
AT22,1980-1989,0.0,10.2,0.0,699.5642857142858,Steiermark
AT32,1980-1989,0.0,0.2,0.0,198.8345238095238,Salzburg
AT34,1980-1989,0.0,6.500000000000001,0.0,185.98333333333335,Vorarlberg
BE22,1980-1989,0.0,0.0,0.0,88.5,Limburg (BE)
BE31,1980-1989,0.0,0.5,0.25,209.5075396825397,Brabant wallon
BE32,1980-1989,0.0,0.75,1.0,169.76190476190476,Hainaut
BE34,1980-1989,0.0,0.0,0.0,41.726190476190474,Luxembourg (BE)
BE35,1980-1989,0.0,0.5,0.0,67.10952380952384,Namur
BG31,1980-1989,0.0,0.0,0.0,1.6,BG31
BG32,1980-1989,0.0,0.0,0.0,1.651010101010101,BG32
BG33,1980-1989,0.0,1.0,0.0,3.5637426900584797,BG33
BG34,1980-1989,0.0,0.0,0.0,0.75,BG34
BG41,1980-1989,0.0,2.0,0.0,99.02813662945242,BG41
BG42,1980-1989,0.0,0.0,0.0,3.913011695906433,BG42
BGZZ,1980-1989,0.0,0.0,0.0,9.898484848484848,BGZZ
CH05,1980-1989,0.0,35.1,1.0,1226.9694444444444,Ostschweiz
CHZZ,1980-1989,0.0,0.0,0.0,28.016666666666666,CHZZ
CY00,1980-1989,0.0,0.0,0.0,3.0,CY00
DE22,1980-1989,0.0,8.772727272727273,0.7999999999999999,352.00287906537903,Niederbayern
