year,country,nouveaute_count,influence_count,rupture_count,total_patents,nouveaute_share,influence_share,rupture_share,population,nouveaute_per_million,influence_per_million,rupture_per_million
1989,SE,112.5,159.83333333333334,38.0,6183.322619047619,0.11339569096374337,0.05557261817149281,0.03328224217210422,8492964,13.24625890325215,18.819499686250094,4.474291896209615
1989,SI,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1996351,0.0,0.0,0.0
1989,SK,0.0,0.0,0.0,7.000000000000003,0.0,0.0,0.0,5275942,0.0,0.0,0.0
1989,UA,0.0,0.0,0.0,25.75,0.0,0.0,0.0,51917817,0.0,0.0,0.0
1990,AT,26.0,140.375,4.0,4293.739285714286,0.027439254215141845,0.04370534115852236,0.004007770621928072,7677850,3.386364672401779,18.283113111092298,0.5209791803695044
1990,BE,24.26388888888889,9.249999999999998,23.0,3891.0246316548946,0.0256070390565453,0.0028799601475784985,0.023044681076086416,9967379,2.434329916509535,0.9280273179137664,2.307527385082879
1990,BG,0.0,0.0,0.0,28.65,0.0,0.0,0.0,8718289,0.0,0.0,0.0
1990,BY,0.0,0.0,0.0,0.7500000000000004,0.0,0.0,0.0,10189348,0.0,0.0,0.0
1990,CH,30.66666666666667,174.66666666666666,19.46666666666667,15552.737986033575,0.03236424856144936,0.0543819501740949,0.019504483693383284,6715519,4.566537101103679,26.009406967155726,2.898758333744074
1990,CY,0.0,0.0,0.0,7.5,0.0,0.0,0.0,788351,0.0,0.0,0.0
1990,CZ,0.0,0.0,0.0,23.000000000000007,0.0,0.0,0.0,10333355,0.0,0.0,0.0
1990,DE,50.05555555555556,1967.3089285714282,30.388888888888886,91856.69047064232,0.05282642745265556,0.6125158175417371,0.030447924030481324,79433029,0.6301604784019448,24.76688794747369,0.38257245470129164
1990,DK,19.0,22.0,18.0,2450.46341991342,0.02005176269568058,0.006849634945592106,0.018034967798676325,5140939,3.6958228837183245,4.2793738653580595,3.5013058898384126
1990,ES,5.0,3.0,6.0,1169.6792124542123,0.005276779656758047,0.000934041128944378,0.006011655932892108,38867322,0.12864277091177004,0.07718566254706202,0.15437132509412405
1990,FI,0.0,76.8,30.0,2560.2027777777776,0.0,0.023911452900976075,0.03005827966446054,4986431,0.0,15.401797397778092,6.016327108507067
1990,FR,150.0,219.04107142857143,155.83333333333334,33137.74150052674,0.1583033897027414,0.06819778988077634,0.1561360638126145,58261012,2.5746205713007524,3.7596509897317167,2.674744704629115
1990,GB,235.02777777777777,237.125,280.8611111111111,30467.613155913186,0.24803795931016576,0.07382816756697855,0.28140672748829676,57247586,4.1054618054598455,4.142096052748845,4.906077805815447
1990,GR,6.0,1.0,0.0,144.5,0.0063321355881096565,0.00031134704298145933,0.0,10196792,0.5884203580890931,0.09807005968151551,0.0
1990,HR,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4777368,0.0,0.0,0.0
1990,HU,0.33333333333333315,2.0,0.0,627.1428571428571,0.0003517853104505363,0.0006226940859629187,0.0,10373988,0.032131648246877975,0.19278988948126793,0.0
1990,IE,5.999999999999999,0.0,9.000000000000004,589.8166666666667,0.006332135588109656,0.0,0.009017483899338166,3513974,1.7074685242406458,0.0,2.56120278636097
1990,IS,0.0,0.0,0.0,85.3,0.0,0.0,0.0,254826,0.0,0.0,0.0
1990,IT,168.0,52.0,129.77777777777777,15202.174007936508,0.1772997964670704,0.016190046235035886,0.13002989128922188,56719240,2.961957882369369,0.9167964874000427,2.2880732847932688
1990,LI,0.0,11.833333333333332,0.0,513.9702380952381,0.0,0.0036842733419472683,0.0,28742,0.0,411.70876533760116,0.0
1990,LU,0.0,0.0,0.0,293.8666666666667,0.0,0.0,0.0,381850,0.0,0.0,0.0
1990,LV,0.0,0.0,0.0,0.9999999999999996,0.0,0.0,0.0,2663151,0.0,0.0,0.0
1990,MC,0.0,4.0,0.0,113.08333333333333,0.0,0.0012453881719258373,0.0,30358,0.0,131.76098557217207,0.0
1990,MT,0.0,0.0,0.0,1.0,0.0,0.0,0.0,354170,0.0,0.0,0.0
1990,NL,136.70039682539684,83.75,248.53333333333333,13840.247727272726,0.14426757460780126,0.02607531484969722,0.24901614797579755,14951510,9.142915787462057,5.6014409246959,16.622624292351297
1990,NO,0.0,32.5,1.2000000000000002,1027.8892857142857,0.0,0.010118778896897428,0.0012023311865784218,4241473,0.0,7.6624323672460015,0.28292057971369855
1990,PL,0.0,4.5,0.0,76.03333333333333,0.0,0.001401061693416567,0.0,38110782,0.0,0.11807682140975223,0.0
1990,PT,0.0,0.0,0.0,13.325,0.0,0.0,0.0,9983218,0.0,0.0,0.0
1990,RO,0.0,0.0,0.0,7.0,0.0,0.0,0.0,23201835,0.0,0.0,0.0
1990,SE,90.5,170.7,42.0,6393.35873015873,0.09550971178732065,0.05314694023693511,0.04208159153024476,8558835,10.573868990347401,19.944303167428743,4.907209918172274
1990,SI,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1998161,0.0,0.0,0.0
1990,SK,0.0,0.0,0.0,2.000000000000001,0.0,0.0,0.0,5299187,0.0,0.0,0.0
1990,UA,0.0,0.0,0.0,26.0,0.0,0.0,0.0,52054092,0.0,0.0,0.0
1991,AT,1.3333333333333326,89.0,0.0,4197.71918767507,0.001519468186134852,0.037576298583801786,0.0,7754891,0.17193450344219313,11.476628104766398,0.0
1991,BE,10.5,16.857142857142858,29.75,3118.272934740698,0.011965811965811967,0.007117180149098894,0.03008342462290385,10004486,1.0495291812093095,1.684958413370048,2.973666013426377
1991,BG,0.0,0.0,0.0,9.3,0.0,0.0,0.0,8632367,0.0,0.0,0.0
1991,CH,27.833333333333336,238.375,22.333333333333336,13071.846397556692,0.031718898385565054,0.10064326039228932,0.02258363529114351,6799978,4.093150497447688,35.05526047290153,3.2843243512454503
1991,CY,0.0,11.5,0.0,26.5,0.0,0.004855364423749669,0.0,798944,0.0,14.394000080105739,0.0
