year,technology,novelty_index,avg_backward_sum,total_patents
2010,G06N,0.11505644818148894,213277.38318447894,103.67041107041106
2011,G06N,0.11443301091014488,214821.97484612183,179.0057443319053
2012,G06N,0.1182755935681883,215036.4637044138,169.57164481912127
2013,G06N,0.08126886029028343,232828.85051879854,245.7271837759566
2014,G06N,0.08957946599217533,241311.11633246034,325.2959379615688
2015,G06N,0.09372331367053477,245205.13733138423,410.1642307793648
2016,G06N,0.12279745594087899,239258.66605947487,730.0718053578164
2017,G06N,0.08565081513227711,261644.5052061662,1248.9694680000875
2018,G06N,0.06917687726865039,279073.19286590256,2124.1739073013923
2019,G06N,0.05576211532589939,292044.25008130335,3175.703816993802
2020,G06N,0.07042915381185978,293339.3849974037,3586.4833343715454
2021,G06N,0.0619364289153581,305218.2717845687,3766.648132096052
2022,G06N,0.06832429027016812,310537.0928438436,3163.662890711801
2023,G06N,0.08869471540664853,293760.05588079087,2236.245154371153
2024,G06N,0.13337110089061002,261202.2210131011,632.0998679680215
1983,H01L,-0.005824519285480213,42158.87934071905,792.4664042944061
1984,H01L,-0.01753005726925049,53700.4349527133,885.2027478533498
1985,H01L,-0.010293688802840383,62462.804356977154,971.3813687804992
1986,H01L,-0.0016299277122271173,69180.05155656282,1094.884605648739
1987,H01L,-0.0015882283824123033,75324.44271549932,1207.8653719089632
1988,H01L,-0.004518109198906312,82267.22363180376,1288.3496513943605
1989,H01L,-0.005327582792157046,90264.84501236801,1495.6472886516153
1990,H01L,-0.007045688243103932,98086.88730597791,1880.1828893026345
1991,H01L,-0.007608960114636642,105251.15577525953,1657.773600152349
1992,H01L,-0.01439714301205902,111853.06364763995,1560.65835954469
1993,H01L,-0.03301608812672453,115163.25639677851,1450.5608809930445
1994,H01L,-0.033576025024247586,115817.22421227624,1504.1733936272356
1995,H01L,-0.03877484722113476,117438.79585315581,1647.6237079685802
1996,H01L,-0.05178137912303773,120919.32810943584,1809.6425604408557
1997,H01L,-0.05174137309072968,125883.06462963055,2207.6299023403117
1998,H01L,-0.054462928652715854,136082.69998430574,2447.3610737616773
1999,H01L,-0.06691410817655183,149774.63612526192,2497.3227793121223
2000,H01L,-0.06439754155756686,163394.0034833434,2957.0040153422083
2001,H01L,-0.0778734527510637,182340.6689068573,3001.515307734597
2002,H01L,-0.07490590278578535,197069.85554499022,2759.2412561171727
2003,H01L,-0.07193075795169034,207235.06701918904,2855.552595950803
2004,H01L,-0.07129691889022292,216372.75129675656,2872.606303124818
2005,H01L,-0.0657914391984303,224031.57536734463,2612.140138139714
2006,H01L,-0.06766254375739766,231600.0615126686,2935.1231196894573
2007,H01L,-0.06261977457145816,240277.98949643626,2638.366715595178
2008,H01L,-0.06403148026154609,248441.35872045168,2481.7755846804953
2009,H01L,-0.06842560992957596,254503.2205993644,2338.7561983314527
2010,H01L,-0.06002971449288492,255474.33295632238,2462.204059733003
2011,H01L,-0.05350594358465469,255560.82159925575,2585.355792664868
2012,H01L,-0.051997988184839916,256563.07748006095,2339.7672999888177
2013,H01L,-0.04509781396486125,264853.2439882579,2431.3170736341826
2014,H01L,-0.04804869771692576,277790.0890520545,2432.9257563782003
2015,H01L,-0.03962119290282177,281283.2562325021,2199.9724127928407
2016,H01L,-0.04367777082319589,284665.1015027773,2082.8058665959293
2017,H01L,-0.033321942430259,295689.0133663241,2326.55832602283
2018,H01L,-0.03021393908373529,308871.8858545535,2040.3002415749393
2019,H01L,-0.032045815247183404,319202.4499921849,2124.1299061439554
2020,H01L,-0.027953133122769494,324385.32373610773,2316.9364693463353
2021,H01L,-0.023337854635952726,332964.0133904432,2394.098776071527
2022,H01L,-0.018496965757263832,339475.5101088252,2337.812247894759
2023,H01L,-0.035080588918552216,333659.1335334106,1616.049207213147
2024,H01L,0.003109664683017834,300463.0585927682,738.4551248482832
