,year,month,class_label,share_class_1,n_class_1
232,2022,3,CULTURE_VALUES,0.6666401218971358,2000733
233,2022,3,PROFESSIONAL_OPPORTUNITIES,0.3860518009515467,1158626
234,2022,4,REMUNERATION_BENEFITS,0.4457215730936254,1293870
235,2022,4,DIVERSITY,0.32573842540441067,945575
236,2022,4,WORK_LIFE_BALANCE,0.08364457746241129,242809
237,2022,4,LEADERSHIP,0.21997777368986374,638566
238,2022,4,CULTURE_VALUES,0.7099676664372382,2060941
239,2022,4,PROFESSIONAL_OPPORTUNITIES,0.41035893492844655,1191217
240,2022,5,REMUNERATION_BENEFITS,0.45329212856234563,1257630
241,2022,5,DIVERSITY,0.29374907188343863,814988
242,2022,5,WORK_LIFE_BALANCE,0.07356269886924766,204095
243,2022,5,LEADERSHIP,0.19529518792287873,541834
244,2022,5,CULTURE_VALUES,0.6493391810083202,1801550
245,2022,5,PROFESSIONAL_OPPORTUNITIES,0.3721033752445542,1032377
246,2022,6,REMUNERATION_BENEFITS,0.4630455717176814,1273749
247,2022,6,DIVERSITY,0.30494033205528415,838832
248,2022,6,WORK_LIFE_BALANCE,0.08012485063474101,220408
249,2022,6,LEADERSHIP,0.19783140002188448,544196
250,2022,6,CULTURE_VALUES,0.656769086308127,1806645
251,2022,6,PROFESSIONAL_OPPORTUNITIES,0.38642260253082095,1062974
252,2022,7,REMUNERATION_BENEFITS,0.43206189181782745,1015361
253,2022,7,DIVERSITY,0.2986707437673295,701887
254,2022,7,WORK_LIFE_BALANCE,0.08843311336507186,207821
255,2022,7,LEADERSHIP,0.1811733947905479,425764
256,2022,7,CULTURE_VALUES,0.6488683577613279,1524864
257,2022,7,PROFESSIONAL_OPPORTUNITIES,0.35326522657525244,830186
258,2022,8,REMUNERATION_BENEFITS,0.42913794213316087,993308
259,2022,8,DIVERSITY,0.2922784738486317,676525
260,2022,8,WORK_LIFE_BALANCE,0.0916165188911196,212061
261,2022,8,LEADERSHIP,0.178448747742108,413048
262,2022,8,CULTURE_VALUES,0.6498654877457112,1504217
263,2022,8,PROFESSIONAL_OPPORTUNITIES,0.35319198205869634,817519
264,2022,9,REMUNERATION_BENEFITS,0.44185821299895095,980984
265,2022,9,DIVERSITY,0.3006918954855407,667576
266,2022,9,WORK_LIFE_BALANCE,0.08333599833883826,185017
267,2022,9,LEADERSHIP,0.20066770774543688,445509
268,2022,9,CULTURE_VALUES,0.6629134380688004,1471756
269,2022,9,PROFESSIONAL_OPPORTUNITIES,0.3823617774250462,848894
270,2022,10,REMUNERATION_BENEFITS,0.43025666684783825,1076602
271,2022,10,DIVERSITY,0.28708768811205354,718360
272,2022,10,WORK_LIFE_BALANCE,0.08461006013830852,211714
273,2022,10,LEADERSHIP,0.21290032259198988,532726
274,2022,10,CULTURE_VALUES,0.6848949258102366,1713766
275,2022,10,PROFESSIONAL_OPPORTUNITIES,0.3968017354106254,992890
276,2022,11,REMUNERATION_BENEFITS,0.43085254528476585,982327
277,2022,11,DIVERSITY,0.2856105871986407,651181
278,2022,11,WORK_LIFE_BALANCE,0.08723789573593584,198899
279,2022,11,LEADERSHIP,0.22393760244144528,510569
280,2022,11,CULTURE_VALUES,0.7020843777590933,1600725
281,2022,11,PROFESSIONAL_OPPORTUNITIES,0.4099820128502198,934743
282,2022,12,REMUNERATION_BENEFITS,0.43755796220919296,988450
283,2022,12,DIVERSITY,0.2888427035677054,652500
284,2022,12,WORK_LIFE_BALANCE,0.08397996471913644,189712
285,2022,12,LEADERSHIP,0.22773199823817017,514450
286,2022,12,CULTURE_VALUES,0.7027877194263872,1587608
287,2022,12,PROFESSIONAL_OPPORTUNITIES,0.4122509146685613,931281
288,2023,1,REMUNERATION_BENEFITS,0.46698699381031833,1022143
289,2023,1,DIVERSITY,0.30458460419480227,666676
290,2023,1,WORK_LIFE_BALANCE,0.08129051299248356,177929
291,2023,1,LEADERSHIP,0.2392219677961115,523610
292,2023,1,CULTURE_VALUES,0.7105446627473269,1555243
293,2023,1,PROFESSIONAL_OPPORTUNITIES,0.4553852240767104,996749
294,2023,2,REMUNERATION_BENEFITS,0.4529241726545896,859266
295,2023,2,DIVERSITY,0.3057983756704787,580146
296,2023,2,WORK_LIFE_BALANCE,0.08305185878622272,157562
297,2023,2,LEADERSHIP,0.24277812215362818,460587
298,2023,2,CULTURE_VALUES,0.7055333468272442,1338504
299,2023,2,PROFESSIONAL_OPPORTUNITIES,0.4473574073136997,848705
300,2023,3,REMUNERATION_BENEFITS,0.4690904195143487,986029
301,2023,3,DIVERSITY,0.3143460377297453,660756
302,2023,3,WORK_LIFE_BALANCE,0.08262123442318323,173670
303,2023,3,LEADERSHIP,0.2316011117020821,486826
304,2023,3,CULTURE_VALUES,0.7003352042481406,1472106
305,2023,3,PROFESSIONAL_OPPORTUNITIES,0.4391346915940137,923062
306,2023,4,REMUNERATION_BENEFITS,0.475481160961138,819313
307,2023,4,DIVERSITY,0.3361069777914996,579154
308,2023,4,WORK_LIFE_BALANCE,0.08516218217609411,146745
309,2023,4,LEADERSHIP,0.22909204444949985,394754
310,2023,4,CULTURE_VALUES,0.6924266622715487,1193137
311,2023,4,PROFESSIONAL_OPPORTUNITIES,0.43912684171307464,756670
312,2023,5,REMUNERATION_BENEFITS,0.4674220777590102,856206
313,2023,5,DIVERSITY,0.3325754109977169,609199
314,2023,5,WORK_LIFE_BALANCE,0.08808076595103512,161343
315,2023,5,LEADERSHIP,0.238182143750116,436293
316,2023,5,CULTURE_VALUES,0.6934541714480374,1270243
317,2023,5,PROFESSIONAL_OPPORTUNITIES,0.4465585594635111,817989
318,2023,6,REMUNERATION_BENEFITS,0.47167050197606275,1033656
319,2023,6,DIVERSITY,0.32757192745173463,717867
320,2023,6,WORK_LIFE_BALANCE,0.09126074217457708,199996
321,2023,6,LEADERSHIP,0.24178785194838737,529873
322,2023,6,CULTURE_VALUES,0.7070416828087333,1549467
323,2023,6,PROFESSIONAL_OPPORTUNITIES,0.4535822611122443,994016
324,2023,7,REMUNERATION_BENEFITS,0.4712894725997437,949218
325,2023,7,DIVERSITY,0.31464579236150175,633724
326,2023,7,WORK_LIFE_BALANCE,0.09544076298590876,192226
327,2023,7,LEADERSHIP,0.2466556807128987,496786
328,2023,7,CULTURE_VALUES,0.7176745592419791,1445459
329,2023,7,PROFESSIONAL_OPPORTUNITIES,0.4532326557889505,912850
330,2023,8,REMUNERATION_BENEFITS,0.4705451305693281,892570
331,2023,8,DIVERSITY,0.31210537275586026,592028
332,2023,8,WORK_LIFE_BALANCE,0.09261341620604306,175677
333,2023,8,LEADERSHIP,0.22574431238583256,428211
334,2023,8,CULTURE_VALUES,0.705029034443311,1337359
335,2023,8,PROFESSIONAL_OPPORTUNITIES,0.43861330549822475,831999
336,2023,9,REMUNERATION_BENEFITS,0.40468119936586633,861266
337,2023,9,DIVERSITY,0.27199098981420483,578867
338,2023,9,WORK_LIFE_BALANCE,0.08027692131311147,170850
339,2023,9,LEADERSHIP,0.18835874222016316,400876
340,2023,9,CULTURE_VALUES,0.6109372078009339,1300232
341,2023,9,PROFESSIONAL_OPPORTUNITIES,0.37718406321038145,802745
342,2023,10,REMUNERATION_BENEFITS,0.3853436912539616,724413
343,2023,10,DIVERSITY,0.2728965261176841,513022
344,2023,10,WORK_LIFE_BALANCE,0.08613106769777766,161919
345,2023,10,LEADERSHIP,0.20322950943500606,382054
346,2023,10,CULTURE_VALUES,0.6295766721243632,1183550
347,2023,10,PROFESSIONAL_OPPORTUNITIES,0.39268392064743385,738212
348,2023,11,REMUNERATION_BENEFITS,0.3919202655643737,674028
349,2023,11,DIVERSITY,0.2725604994508111,468752
350,2023,11,WORK_LIFE_BALANCE,0.08608107063051769,148043
351,2023,11,LEADERSHIP,0.20681191923056572,355677
352,2023,11,CULTURE_VALUES,0.628676789108558,1081204
353,2023,11,PROFESSIONAL_OPPORTUNITIES,0.3986332203169073,685573
354,2023,12,REMUNERATION_BENEFITS,0.4138254651895036,711690
